	q0	q1	q2	densidad	velocidad	presion	t	x
663	1.05014181	1.05014181	3.02507091	1.05014181	1.0	1.000000002	0.0	3.2600000000000002
664	1.05371301	1.05371301	3.02685651	1.05371301	1.0	1.0000000019999997	0.0	3.2800000000000002
665	1.05749254	1.05749254	3.02874627	1.05749254	1.0	0.9999999999999998	0.0	3.3000000000000003
666	1.06148881	1.06148881	3.03074441	1.06148881	1.0	1.0000000019999997	0.0	3.3200000000000003
667	1.06571027	1.06571027	3.03285514	1.06571027	1.0	1.0000000019999997	0.0	3.34
668	1.0701654	1.0701654	3.0350827	1.0701654	1.0	0.9999999999999998	0.0	3.36
669	1.07486266	1.07486266	3.03743133	1.07486266	1.0	0.9999999999999998	0.0	3.38
670	1.07981052	1.07981052	3.03990526	1.07981052	1.0	0.9999999999999998	0.0	3.4
671	1.08501734	1.08501734	3.04250867	1.08501734	1.0	0.9999999999999998	0.0	3.42
672	1.09049144	1.09049144	3.04524572	1.09049144	1.0	0.9999999999999998	0.0	3.44
673	1.09624098	1.09624098	3.04812049	1.09624098	1.0	0.9999999999999998	0.0	3.46
674	1.10227398	1.10227398	3.05113699	1.10227398	1.0	0.9999999999999998	0.0	3.48
675	1.10859825	1.10859825	3.05429912	1.10859825	1.0	0.9999999979999998	0.0	3.5
676	1.11522138	1.11522138	3.05761069	1.11522138	1.0	0.9999999999999998	0.0	3.52
677	1.12215067	1.12215067	3.06107533	1.12215067	1.0	0.9999999979999998	0.0	3.54
678	1.12939313	1.12939313	3.06469656	1.12939313	1.0	0.9999999979999996	0.0	3.56
679	1.13695539	1.13695539	3.0684777	1.13695539	1.0	1.0000000019999997	0.0	3.58
680	1.14484371	1.14484371	3.07242185	1.14484371	1.0	0.9999999979999998	0.0	3.6
681	1.15306387	1.15306387	3.07653193	1.15306387	1.0	0.9999999979999996	0.0	3.62
682	1.16162119	1.16162119	3.0808106	1.16162119	1.0	1.0000000019999997	0.0	3.64
683	1.17052046	1.17052046	3.08526023	1.17052046	1.0	0.9999999999999998	0.0	3.66
684	1.17976587	1.17976587	3.08988293	1.17976587	1.0	0.9999999979999998	0.0	3.68
